Name,l,b,R-Sun,Type
NGC 104,305.89,-44.89,4.5,BD
NGC 288,152.30,-89.38,8.9,OH
NGC 362,301.53,-46.25,8.6,YH
Whiting 1,161.22,-60.76,30.1,UN
NGC 1261,270.54,-52.12,16.3,YH
Pal 1,130.06,19.03,11.1,BD
E 1,258.34,-48.47,123.3,YH
Eridanus,218.10,-41.33,90.1,YH
Pal 2,170.53,-9.07,27.2,YH
NGC 1851,244.51,-35.03,12.1,OH
NGC 1904,227.23,-29.35,12.9,OH
NGC 2298,245.63,-16.00,10.8,OH
NGC 2419,180.37,25.24,82.6,OH
Ko 2,195.12,25.54,34.7,UN
Pyxis,261.32,7.00,39.4,YH
NGC 2808,282.19,-11.25,9.6,OH
E 3,292.27,-19.02,8.1,UN
Pal 3,240.15,41.86,92.5,YH
NGC 3201,277.23,8.64,4.9,YH
Pal 4,202.31,71.80,108.7,YH
Ko 1,260.99,70.75,48.3,UN
NGC 4147,252.85,77.19,19.3,SG
NGC 4372,300.99,-9.88,5.8,OH
Rup 106,300.88,11.67,21.2,YH
NGC 4590,299.63,36.05,10.3,YH
NGC 4833,303.60,-8.02,6.6,OH
NGC 5024,332.96,79.76,17.9,OH
NGC 5053,335.70,78.95,17.4,YH
NGC 5139,309.10,14.97,5.2,UN
NGC 5272,42.22,78.71,10.2,YH
NGC 5286,311.61,10.57,11.7,OH
AM 4,320.28,33.51,32.2,UN
NGC 5466,42.15,73.59,16.0,YH
NGC 5634,342.21,49.26,25.2,OH
NGC 5694,331.06,30.36,35.0,OH
IC 4499,307.35,-20.47,18.8,YH
NGC 5824,332.56,22.07,32.1,OH
Pal 5,0.85,45.86,23.2,YH
NGC 5897,342.95,30.29,12.5,OH
NGC 5904,3.86,46.80,7.5,OH
NGC 5927,326.60,4.86,7.7,BD
NGC 5946,327.58,4.19,10.6,OH
BH 176,328.41,4.34,18.9,BD
NGC 5986,337.02,13.27,10.4,OH
BH 184,328.77,-2.80,8.0,BD
Pal 14,28.74,42.19,76.5,YH
NGC 6093,352.67,19.46,10.0,OH
NGC 6121,350.97,15.97,2.2,OH
NGC 6101,317.74,-15.82,15.4,OH
NGC 6144,351.93,15.70,8.9,OH
NGC 6139,342.37,6.94,10.1,OH
Terzan 3,345.08,9.19,8.2,BD
NGC 6171,3.37,23.01,6.4,OH
ESO 452-11,351.91,12.10,8.3,YH
NGC 6205,59.01,40.91,7.1,OH
NGC 6229,73.64,40.31,30.5,YH
NGC 6218,15.72,26.31,4.8,OH
FSR 1735,339.19,-1.85,9.8,UN
NGC 6235,358.92,13.52,11.5,OH
NGC 6254,15.14,23.08,4.4,OH
NGC 6256,347.79,3.31,10.3,BD
Pal 15,18.88,24.30,45.1,OH
NGC 6266,353.57,7.32,6.8,OH
NGC 6273,356.87,9.38,8.8,OH
NGC 6284,358.35,9.94,15.3,OH
NGC 6287,0.13,11.02,9.4,OH
NGC 6293,357.62,7.83,9.5,OH
NGC 6304,355.83,5.38,5.9,BD
NGC 6316,357.18,5.76,10.4,BD
NGC 6341,68.34,34.86,8.3,OH
NGC 6325,0.97,8.00,7.8,OH
NGC 6333,5.54,10.71,7.9,OH
NGC 6342,4.90,9.72,8.5,BD
NGC 6356,6.72,10.22,15.1,BD
NGC 6355,359.59,5.43,9.2,OH
NGC 6352,341.42,-7.17,5.6,BD
IC 1257,16.54,15.15,25.0,OH
Terzan 2,356.32,2.30,7.5,BD
NGC 6366,18.41,16.04,3.5,OH
Terzan 4,356.02,1.31,7.2,OH
BH 229,357.44,2.12,8.2,OH
NGC 6362,325.55,-17.57,7.6,OH
Liller 1,354.84,-0.16,8.2,BD
NGC 6380,350.18,-3.42,10.9,BD
Terzan 1,357.57,1.00,6.7,YH
Ton 2,350.80,-3.42,8.2,BD
NGC 6388,345.56,-6.74,9.9,BD
NGC 6402,21.32,14.81,9.3,OH
NGC 6401,3.45,3.98,10.6,OH
NGC 6397,338.17,-11.96,2.3,OH
Pal 6,2.10,1.78,5.8,YH
NGC 6426,28.09,16.23,20.6,YH
Djorg 1,356.69,-2.47,13.7,UN
Terzan 5,3.84,1.69,6.9,BD
NGC 6440,7.73,3.80,8.5,BD
NGC 6441,353.53,-5.01,11.6,BD
Terzan 6,358.57,-2.16,6.8,BD
NGC 6453,355.72,-3.87,11.6,OH
UKS 1,5.13,0.76,7.8,BD
NGC 6496,348.03,-10.01,11.3,BD
Terzan 9,3.61,-1.99,7.1,YH
Djorg 2,2.77,-2.50,6.3,BD
NGC 6517,19.23,6.76,10.6,OH
Terzan 10,4.49,-1.99,5.8,BD
NGC 6522,1.02,-3.93,7.7,OH
NGC 6535,27.18,10.44,6.8,OH
NGC 6528,1.14,-4.17,7.9,BD
NGC 6539,20.80,6.78,7.8,BD
NGC 6540,3.29,-3.31,5.3,OH
NGC 6544,5.84,-2.20,3.0,OH
NGC 6541,349.29,-11.19,7.5,OH
2MS-GC01,10.48,0.11,3.6,UN
ESO 280-06,346.90,-12.57,21.4,UN
NGC 6553,5.26,-3.03,6.0,BD
2MS-GC02,9.79,-0.61,4.9,UN
NGC 6558,0.20,-6.02,7.4,OH
Pal 7,21.83,5.67,5.4,BD
Terzan 12,8.37,-2.10,4.8,BD
NGC 6569,0.48,-6.68,10.9,OH
BH 261,3.36,-5.27,6.5,UN
GLIMPSE02,14.14,-0.64,5.5,UN
NGC 6584,342.14,-16.41,13.5,YH
NGC 6624,2.79,-7.91,7.9,BD
NGC 6626,7.80,-5.58,5.5,OH
NGC 6638,7.90,-7.15,9.4,OH
NGC 6637,1.72,-10.27,8.8,BD
NGC 6642,9.81,-6.44,8.1,YH
NGC 6652,1.53,-11.38,10.0,OH
NGC 6656,9.89,-7.55,3.2,OH
Pal 8,14.11,-6.79,12.8,BD
NGC 6681,2.85,-12.51,9.0,OH
GLIMPSE01,31.31,-0.10,4.2,UN
NGC 6712,25.35,-4.32,6.9,OH
NGC 6715,5.61,-14.09,26.5,SG
NGC 6717,12.88,-10.90,7.1,OH
NGC 6723,0.07,-17.30,8.7,OH
NGC 6749,36.20,-2.21,7.9,OH
NGC 6752,336.49,-25.63,4.0,OH
NGC 6760,36.11,-3.92,7.4,BD
NGC 6779,62.66,8.34,9.4,OH
Terzan 7,3.39,-20.07,22.8,SG
Pal 10,52.43,2.72,5.9,BD
Arp 2,8.55,-20.79,28.6,SG
NGC 6809,8.79,-23.27,5.4,OH
Terzan 8,5.76,-24.56,26.3,SG
Pal 11,31.81,-15.57,13.4,BD
NGC 6838,56.75,-4.56,4.0,BD
NGC 6864,20.30,-25.75,20.9,OH
NGC 6934,52.10,-18.89,15.6,YH
NGC 6981,35.16,-32.68,17.0,YH
NGC 7006,63.77,-19.41,41.2,YH
NGC 7078,65.01,-27.31,10.4,YH
NGC 7089,53.37,-35.77,11.5,OH
NGC 7099,27.18,-46.84,8.1,OH
Pal 12,30.51,-47.68,19.0,SG
Pal 13,87.10,-42.70,26.0,YH
NGC 7492,53.39,-63.48,26.3,OH
